Wavelength	Intensity
686.51790552408409	289.39999389648438
686.793243518583	302.39999389648438
687.0685770751154	351.35000610351563
687.34390619215276	427.29998779296875
687.61923086816762	332.45001220703125
687.89455110163328	305.64999389648438
688.16986689102123	311.95001220703125
688.44517823480521	250.25
688.72048513145728	201.75
688.995787579451	212.80000305175781
689.27108557725887	260.20001220703125
689.546379123354	316.89999389648438
689.82166821620956	324
690.09695285429882	351.04998779296875
690.37223303609471	317.79998779296875
690.64750876007133	313.70001220703125
690.92278002470164	389.70001220703125
691.19804682845916	391.10000610351563
691.47330916981821	343.04998779296875
691.74856704725164	266.10000610351563
692.023820459234	233
692.29906940423859	319.75
692.57431388073985	335.04998779296875
692.84955388721187	215.39999389648438
693.12478942212863	230.5
693.40002048396377	267.95001220703125
693.6752470711931	298.5
693.95046918228991	342.54998779296875
694.225686815729	443
694.50089996998463	457.14999389648438
694.77610864353267	438.70001220703125
695.05131283484639	395.04998779296875
695.32651254240136	457.64999389648438
695.6017077646726	453.14999389648438
695.8768985001351	442.29998779296875
696.15208474726353	449.35000610351563
696.42726650453392	419.39999389648438
696.70244377042093	373.5
696.97761654340013	390.60000610351563
697.25278482194676	369.54998779296875
697.52794860453685	370.14999389648438
697.80310788964562	409.54998779296875
698.07826267574876	385.85000610351563
698.35341296132265	325.14999389648438
698.62855874484194	310.29998779296875
698.903700024784	404.14999389648438
699.17883679962472	339.35000610351563
699.45396906783958	286.60000610351563
699.72909682790464	430.10000610351563
700.00422007829707	463.85000610351563
700.27933881749289	469.5
700.55445304396892	458.45001220703125
700.82956275620154	466
701.10466795266666	408.39999389648438
701.379768631842	353.60000610351563
701.65486479220465	366.45001220703125
701.92995643223048	317.75
702.20504355039759	278.04998779296875
702.48012614518223	313.60000610351563
702.75520421506235	366.79998779296875
703.03027775851479	370.75
703.30534677401693	300.70001220703125
703.58041126004639	352.45001220703125
703.85547121508023	390.89999389648438
704.13052663759674	371.35000610351563
704.40557752607344	374.35000610351563
704.68062387898863	371.75
704.95566569481934	425.95001220703125
705.23070297204356	434.29998779296875
705.50573570914025	395.79998779296875
705.78076390458693	441.04998779296875
706.05578755686224	511.89999389648438
706.330806664444	445.25
706.60582122581081	388.79998779296875
706.88083123944148	372.70001220703125
707.15583670381488	381.85000610351563
707.43083761740877	344.35000610351563
707.70583397870234	365
707.98082578617459	345.39999389648438
708.25581303830472	381.35000610351563
708.53079573357149	339.35000610351563
708.80577387045423	358.39999389648438
709.0807474474318	408
709.35571646298342	413.64999389648438
709.6306809155891	432.89999389648438
709.90564080372815	413.25
710.18059612587967	371.25
710.455546880524	377.10000610351563
710.73049306614075	381.79998779296875
711.00543468120929	435.85000610351563
711.28037172420966	472.64999389648438
711.55530419362253	459.89999389648438
711.830232087927	470.60000610351563
712.10515540560459	515.6500244140625
712.38007414513436	576.3499755859375
712.65498830499746	601.95001220703125
712.929897883674	583.95001220703125
713.20480287964449	494.45001220703125
713.4797032913898	356.60000610351563
713.75459911739074	299.89999389648438
714.02949035612767	422.35000610351563
714.304377006082	560.0999755859375
714.5792590657345	508.60000610351563
714.85413653356625	386.45001220703125
715.12900940805832	365.10000610351563
715.40387768769256	385.14999389648438
715.67874137094987	327.70001220703125
715.95360045631128	324.25
716.2284549422593	366.54998779296875
716.50330482727475	435.39999389648438
