,T,A,G,E,Date,Time,Substrate,E_pump,n,PLQY
0,200,15,100,498,2022-Oct-26,15:07:17,Silicon,7.20721183984e-09,7.848861304010939e+16,8.50286985947476e-15
0,240,30,100,550,2022-Oct-26,16:28:18,Silicon,9.109937500000003e-09,9.920984357703512e+16,2.7502394768446305e-15
0,120,5,100,556,2022-Oct-26,12:25:14,Silicon,9.348621975040002e-09,1.0180918626549869e+17,1.212398643366968e-14
0,240,5,100,1000,2022-Oct-26,16:12:21,Silicon,3.94e-08,4.290773495356233e+17,5.751662012001515e-15
0,200,50,100,300,2022-Oct-26,15:05:23,Silicon,2.4189999999999996e-09,2.6343606815397784e+16,7.738732354536397e-15
0,280,1,100,1600,2022-Oct-26,17:33:11,Silicon,1.2078400000000003e-07,1.3153725529520492e+18,7.909841103125714e-15
0,80,30,100,240,2022-Oct-26,11:34:02,Silicon,1.6205824e-09,1.7648609159798964e+16,1.4861358857511407e-14
0,240,1,100,1400,2022-Oct-26,16:15:17,Silicon,8.882399999999998e-08,9.673189465774668e+17,8.260303086828823e-15
0,80,1,6,1400,2022-Oct-26,14:02:12,Silicon,8.882399999999998e-08,9.673189465774668e+17,6.98131605774354e-14
0,120,1,10,1460,2022-Oct-26,12:05:55,Silicon,9.796105439999999e-08,1.0668241010067767e+18,4.658485557371119e-14
0,160,100,100,148,2022-Oct-26,14:29:25,Silicon,8.481058278399999e-10,9236116769931542.0,8.040944905434564e-15
0,160,1,30,1200,2022-Oct-26,14:47:43,Silicon,6.150399999999999e-08,6.697962767979433e+17,3.037481895089328e-14
0,200,1,30,1500,2022-Oct-26,15:18:19,Silicon,1.0427500000000003e-07,1.1355847873813993e+18,2.5629439580430466e-14
0,80,1,8,1360,2022-Oct-26,14:08:11,Silicon,8.29648384e-08,9.035109889675963e+17,7.101677007878014e-14
0,240,1,40,1500,2022-Oct-26,16:20:00,Silicon,1.0427500000000003e-07,1.1355847873813993e+18,1.977040828440562e-14
0,80,1,3,2000,2022-Oct-26,14:03:17,Silicon,1.944e-07,2.1170719987239887e+18,8.830282642288252e-14
0,200,20,100,400,2022-Oct-26,15:25:18,Silicon,4.384000000000001e-09,4.774302285188256e+16,7.982703090026142e-15
0,200,1,20,1600,2022-Oct-26,15:15:17,Silicon,1.2078400000000003e-07,1.3153725529520492e+18,2.899693429033754e-14
0,160,2,100,800,2022-Oct-26,14:49:10,Silicon,2.2704000000000006e-08,2.4725310009788816e+17,1.7423890558235296e-14
0,200,2,100,688,2022-Oct-26,15:09:36,Silicon,1.5660633456639997e-08,1.7054880953360397e+17,2.445189236990965e-14
0,200,1,50,1200,2022-Oct-26,15:19:58,Silicon,6.150399999999999e-08,6.697962767979433e+17,2.1565735793364245e-14
0,240,100,100,400,2022-Oct-26,16:32:04,Silicon,4.384000000000001e-09,4.774302285188256e+16,2.4323621580293745e-15
0,80,100,100,112,2022-Oct-26,11:25:24,Silicon,6.6697560064e-10,7263556419480751.0,7.829638339909335e-15
0,240,50,100,480,2022-Oct-26,16:08:59,Silicon,6.6160384e-09,7.20505639872565e+16,2.285829545488535e-15
0,120,40,100,324,2022-Oct-26,11:56:22,Silicon,2.81409735424e-09,3.064633081453069e+16,7.411991743255125e-15
0,120,1,6,1580,2022-Oct-26,12:15:51,Silicon,1.1740355040000001e-07,1.2785584830381716e+18,4.898036774635659e-14
0,80,2,100,800,2022-Oct-26,14:15:51,Silicon,2.2704000000000006e-08,2.4725310009788816e+17,9.680891435659837e-15
0,80,1,15,1000,2022-Oct-26,14:00:40,Silicon,3.94e-08,4.290773495356233e+17,7.562318761080415e-14
0,240,20,100,660,2022-Oct-26,16:10:51,Silicon,1.4147166400000001e-08,1.5406671731856413e+17,3.792891987008298e-15
