,Date,Time,Substrate,T,A,G,E,E_pump,n,PLQY
78,2022-Oct-24,18:04:37,Glass,280,10,100,304,2.48169938944e-09,2.7026421227540348e+16,5.3893743515145577e-14
79,2022-Oct-24,18:01:46,Glass,280,50,100,66,5.121580926400001e-10,5577549160740898.0,1.4096592008501634e-14
80,2022-Oct-24,18:21:24,Glass,280,1,20,1010,4.03767999e-08,4.3971498182289894e+17,1.6018490140000281e-13
81,2022-Oct-24,18:15:36,Glass,280,1,8,1520,1.0749603840000002e-07,1.1706628234074007e+18,1.3841488101206825e-13
82,2022-Oct-24,18:17:11,Glass,280,1,1,1580,1.1740355040000001e-07,1.2785584830381716e+18,1.973699178148165e-13
83,2022-Oct-24,18:08:59,Glass,280,1,100,640,1.3124838400000001e-08,1.4293327090749674e+17,9.295945144861411e-14
84,2022-Oct-24,18:27:46,Glass,280,5,100,392,4.194637271040001e-09,4.5680808185816856e+16,5.371380685213319e-14
85,2022-Oct-24,18:22:59,Glass,280,1,50,760,2.0003622400000004e-08,2.1784521016506154e+17,1.284453201417288e-13
86,2022-Oct-24,18:29:57,Glass,280,30,100,166,9.618265086400002e-10,1.0474567742140952e+16,2.946810379122738e-14
87,2022-Oct-24,18:06:32,Glass,280,5,100,440,5.4213504e-09,5.9040067526291656e+16,6.789063117491887e-14
88,2022-Oct-24,18:13:52,Glass,280,1,10,1290,7.317807190000001e-08,7.969302826136872e+17,1.6506930157846475e-13
89,2022-Oct-24,18:26:08,Glass,280,1,100,544,8.875274199040002e-09,9.665429263263925e+16,7.294920307086758e-14
90,2022-Oct-24,18:19:04,Glass,280,1,1,1740,1.4541814239999998e-07,1.5836454597813663e+18,1.9372676521419544e-13
91,2022-Oct-18,17:32:56,Glass,299,40,100,200,1.2240000000000001e-09,1.3329712584558448e+16,2.5382798640838628e-14
92,2022-Oct-18,17:16:23,Glass,299,3,100,550,9.109937500000003e-09,9.920984357703512e+16,4.3328039451127296e-14
93,2022-Oct-18,17:35:51,Glass,299,80,100,100,6.19e-10,6741088308694183.0,1.5333643248008762e-14
94,2022-Oct-18,17:13:46,Glass,299,7,100,410,4.629063899999999e-09,5.041183931581307e+16,3.8465237802678755e-14
95,2022-Oct-18,17:26:17,Glass,299,3,100,480,6.6160384e-09,7.20505639872565e+16,6.798780821953937e-14
96,2022-Oct-18,17:11:37,Glass,299,80,100,160,9.220864000000002e-10,1.0041786511544278e+16,1.76060600539447e-14
97,2022-Oct-18,17:39:17,Glass,299,1,100,650,1.3629937500000002e-08,1.4843394560497968e+17,6.294339786091809e-14
98,2022-Oct-18,17:31:16,Glass,299,20,100,250,1.7359375000000001e-09,1.890485942790599e+16,3.080383140173408e-14
99,2022-Oct-18,17:18:44,Glass,299,1,100,740,1.87311024e-08,2.039871008038668e+17,6.794953337162296e-14
100,2022-Oct-18,17:28:22,Glass,299,10,100,300,2.4189999999999996e-09,2.6343606815397784e+16,4.1670044497136456e-14
